"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bosnia and Herzegovina","BIH","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1124011275.03494","1295465925.77392","1579790181.38747","1630974329.54227","1633872801.0059","2198490326.47348","2950216686.35459","3544270729.86483","4521180072.90518","4287589229.72557","5168278490.91307","4430602468.25145","5094442709.99652","5980702786.3492","5566123838.72272","6133467167.14973","6307052949.82694","5651942045.63614","6031639707.26672","7287749424.04296","",
"Belarus","BLR","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2155000000","2761400000","5269100000","6698100000","7837500000","7097400000","6399700000","7047800000","7833200000","8604200000","10881500000","14976900000","17536300000","21569300000","26851400000","36217200000","24310300000","29301700000","46537100000","51886000000","44046100000","43302900000","32797800000","29926900000","36549600000","",
"Belize","BLZ","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","128600000","128250000","135400000","158800000","193850000","210250000","244550000","248800000","283200000","282500000","277611000","297358000","309145000","331240000","326610000","399464387.61","423702769.09625","425353573.782026","479150897.829129","515746792.02084","528057030.85738","615000628.891277","775964114.000773","816351071.600871","866565798.004099","728299880.171641","829575933.439001","943767027.439495","1034414459.16485","1056127152.13127","1083001281.51282","1033644191.97502","968526944.164158","1038987204.12465","",
"Bermuda","BMU","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1617760000","1630938333.21191","1488205917.96382","1355406014.62522","1416064408.86253","1470443894.71498","1399876565.10677","1391041517.63726","1351568514.99486","1259589527.3189","1313493631.62608","1395210434.67126","",
"Bolivia","BOL","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","623400000","695100000","703500000","865000000","1030100000","1005400000","910000000","858100000","818000000","719900000","666600000","650200000","670800000","866800000","976700000","917300000","773000000","896900000","1181100000","1233800000","1312930000","1413840000","1355200000","1310600000","1470024096.03","1520698269.97172","1555312119.06189","1961205035.63242","2562015186.20425","3279393006.37881","4349355086.50369","4954735466.57491","7023072797.03459","5429960000","6836994924.1346","9122873526.42334","12257994961.9127","12752655397.1568","14007156664.5106","9927413077.01441","8244417818.80537","9151618846.81765","",
"Brazil","BRA","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","9552000000","10979000000","13130000000","13823000000","16719000000","21869000000","25541000000","21982000000","23622000000","28949000000","27720000000","24164000000","28162000000","36052000000","37507000000","35170000000","34938000000","39881000000","43595000000","49010000000","52641000000","52506000000","59178000000","58767000000","54563000000","63716723040.9693","66517202823.9496","68943055575.7244","82570023303.5733","107984756804.627","133005199276.194","156303207937.529","184603323407.868","228392969446.029","180723090100","232060095597.79","292549643820.53","281259268835.21","279587813724.59","264063098515.125","223869590906.42","217753196279.63","251721061711.34","",
"Barbados","BRB","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","93699999.95315","103095072.466711","117369626.824634","138626558.271661","177525088.914608","205957144.713919","197100000","248200000","313750000","421150000","574100000","547150000","619500000","681850000","797750000","795550000","751950000","686200000","778350000","888750000","872850000","824100000","810762785","877377527.2","997359597","1065458604.2","1167676183.4","1193482741.265","1229917965.5","1234894440.68","1294570763","1261435145.15","1216198660.65","1339948670.11667","1415739093.25961","1815066631.01016","2113510169.86742","2226169464.725","2312046053.6795","1883867430.21","2068867285.2434","2154644367.9054","2103409846.0352","2320126337.87485","","","","","",
"Brunei Darussalam","BRN","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4125731309.131","4135579443.15039","4860307891.40582","5613073006.10381","6857071420.58467","8371474050.7876","8504938837.00846","11564949952.7002","8086792762.52575","9261650665.53031","12877940242.249","13364678877.7238","12328064821.1666","11668217281.5374","6773193238.17223","5342041396.27606","6025744289.57607","",
"Bhutan","BTN","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","363738082.545728","636741509.768701","653637755.393743","574268848.326477","590485064.364733","745573125.523142","729034440.586467","667794405.571274","659145142.494112","706946117.876842","642339520.120198","716346961.256478","",
"Botswana","BWA","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","172817673.043775","216545054.38529","243004514.75665","273861116.037009","503308767.00801","645372962.327991","498363686.574693","563098043.257851","753287027.726189","784905214.982112","803914011.003194","952508078.89518","1711733935.43251","1579251744.85771","1930134172.20083","2004874227.28806","2081020071.99072","1933142945.17058","1913477709.10929","2060458261.62151","2420562680.51203","2380511682.52179","3030020844.95572","2315517714.65352","2989367744.89594","2999881513.79601","2671093199.89585","2836790168.83394","3667388019.87313","4439949304.99871","5269906559.87039","5297061556.05195","6011239817.30459","5442835027.96213","4178002818.13028","5345575405.6939","7353300952.3205","7339705897.5214","8848229564.3972","9512376707.46551","7243978221.72533","8240851062.01345","6957486597.49297","",
"Central African Republic","CAF","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","127861608.906309","142978781.789886","157243049.319152","201027496.089874","169417266.819614","165958497.600334","159064294.032446","149211592.60134","177837940.429751","185489185.545727","196734798.347149","195989085.418704","213659017.992366","219613415.488807","176110539.829667","160994786.68837","181718926.599892","179033067.943722","","","","","","","","","","","","","","","","","","","","","","","","",
